user_id,timestamp,key,mapped_to,event,filename,mapping_type
3,2024-09-30 10:23:09,input_1,mouse_left+mouse_left,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:23:09,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:23:09,input_3,Alt,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:24:40,input_1,mouse_left+mouse_left,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:24:40,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:24:40,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:28:19,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:28:19,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:28:19,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:34:38,input_1,win+Left,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:34:38,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:34:38,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 11:18:41,input_1,mouse_middle,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 11:18:41,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 11:18:41,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 15:26:58,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 15:26:58,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 15:26:58,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-10-03 14:55:02,input_1,p+r,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:55:02,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:55:02,input_3,Alt+Esc,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:56:15,input_1,p+r,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:56:15,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:56:15,input_3,Ctrl+s,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:57:15,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:57:15,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:57:15,input_3,Ctrl+s,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:57:45,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:57:45,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:57:45,input_3,Ctrl+s,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:58:42,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:58:42,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
