user_id,key,mapped_to,first_down_time,up_time,down_count,filename
10,Key.f22,mouse_left,2024-10-24 21:45:28,2024-10-24 21:47:15,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:31:45,2024-10-22 19:31:48,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:32:11,2024-10-22 19:32:11,2,010_20241022_184543_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:32:48,2024-10-14 17:32:54,2,009_20241014_090902_key_events.csv
10,Key.f22,mouse_left,2024-10-24 21:44:55,2024-10-24 21:44:55,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-23 22:34:01,2024-10-24 21:44:42,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-23 22:33:57,2024-10-23 22:33:59,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-23 22:33:43,2024-10-23 22:33:45,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-23 22:23:52,2024-10-23 22:23:55,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-23 22:23:13,2024-10-23 22:23:15,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:32:21,2024-10-22 19:32:25,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-23 22:18:17,2024-10-23 22:18:18,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-23 22:17:58,2024-10-23 22:18:03,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-23 22:17:40,2024-10-23 22:17:41,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:33:13,2024-10-22 19:33:15,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:37:43,2024-10-22 19:37:44,2,010_20241022_184543_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:32:27,2024-10-14 17:32:34,2,009_20241014_090902_key_events.csv
9,Key.f23,Alt+Left,2024-10-14 17:31:50,2024-10-14 17:31:57,2,009_20241014_090902_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:39:10,2024-10-22 19:39:30,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-23 21:32:56,2024-10-23 22:17:33,2,010_20241023_173255_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:35:01,2024-10-22 19:35:03,2,010_20241022_184543_key_events.csv
9,Key.f24,Ctrl+t,2024-10-14 12:49:56,2024-10-14 13:08:19,2,009_20241014_090902_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:21:29,2024-10-22 19:21:31,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:32:34,2024-10-21 15:32:34,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:36:05,2024-10-21 20:36:07,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 16:26:17,2024-10-21 16:26:19,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:57:30,2024-10-21 15:57:31,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:57:16,2024-10-21 15:57:21,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:56:12,2024-10-21 15:56:49,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:55:01,2024-10-21 15:55:07,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:54:24,2024-10-21 15:54:26,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:49:37,2024-10-21 15:49:39,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:04:25,2024-10-21 15:04:55,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:43:08,2024-10-21 15:43:08,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:37:45,2024-10-21 15:37:49,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:37:34,2024-10-21 15:37:34,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:37:28,2024-10-21 15:37:31,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:37:07,2024-10-21 15:37:07,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:05:25,2024-10-21 15:05:26,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:05:45,2024-10-21 15:05:47,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:36:44,2024-10-21 15:36:45,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:37:23,2024-10-21 20:37:31,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:37:47,2024-10-21 20:45:08,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:45:13,2024-10-21 20:45:14,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:55:26,2024-10-21 20:55:29,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 21:55:45,2024-10-21 21:55:49,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 15:03:10,2024-10-21 15:03:52,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 21:55:11,2024-10-21 21:55:14,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 21:54:38,2024-10-21 21:54:44,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 21:53:22,2024-10-21 21:53:33,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 21:52:50,2024-10-21 21:52:53,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:55:52,2024-10-21 20:56:00,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:52:22,2024-10-21 20:53:43,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:45:30,2024-10-21 20:45:31,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:51:34,2024-10-21 20:51:37,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:51:11,2024-10-21 20:51:24,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:47:41,2024-10-21 20:48:21,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:47:10,2024-10-21 20:47:13,2,010_20241021_143447_key_events.csv
10,Key.f22,mouse_left,2024-10-21 20:45:52,2024-10-21 20:45:53,2,010_20241021_143447_key_events.csv
